"","title","code","type","last update of data","last table structure change","data start","data end","values","table_w_code"
"23","Industry - monthly data - growth rates (NACE Rev. 2)","ei_isir_m","dataset","09.08.2019","09.08.2019","1980M01","2019M07",NA,"Industry - monthly data - growth rates (NACE Rev. 2) (ei_isir_m)"
"24","Industry - quarterly data - index (2015 = 100) (NACE Rev. 2)","ei_isind_q","dataset","09.08.2019","09.08.2019","1989Q4","2019Q2",NA,"Industry - quarterly data - index (2015 = 100) (NACE Rev. 2) (ei_isind_q)"
"25","Construction - monthly data - index (2015 = 100) (NACE Rev. 2)","ei_isbu_m","dataset","09.08.2019","09.08.2019","1980M01","2019M06",NA,"Construction - monthly data - index (2015 = 100) (NACE Rev. 2) (ei_isbu_m)"
"26","Construction - monthly data - growth rates (NACE Rev. 2)","ei_isbr_m","dataset","09.08.2019","09.08.2019","1990M02","2019M06",NA,"Construction - monthly data - growth rates (NACE Rev. 2) (ei_isbr_m)"
"27","Construction - quarterly data - index (2015 = 100) (NACE Rev. 2)","ei_isbu_q","dataset","09.08.2019","09.08.2019","1980Q1","2019Q2",NA,"Construction - quarterly data - index (2015 = 100) (NACE Rev. 2) (ei_isbu_q)"
"28","Retail trade - monthly data - index (2015 = 100) (NACE Rev. 2)","ei_isrt_m","dataset","09.08.2019","09.08.2019","1991M01","2019M06",NA,"Retail trade - monthly data - index (2015 = 100) (NACE Rev. 2) (ei_isrt_m)"
"29","Retail trade - monthly data - growth rates (NACE Rev. 2)","ei_isrr_m","dataset","09.08.2019","09.08.2019","1991M02","2019M06",NA,"Retail trade - monthly data - growth rates (NACE Rev. 2) (ei_isrr_m)"
"30","Retail trade - quarterly data (NACE Rev. 2)","ei_isrt_q","dataset","09.08.2019","09.08.2019","1989Q4","2019Q2",NA,"Retail trade - quarterly data (NACE Rev. 2) (ei_isrt_q)"
"31","Turnover in services - quarterly data - index (2015 = 100)","ei_isset_q","dataset","09.08.2019","09.08.2019","2016Q3","2019Q2",NA,"Turnover in services - quarterly data - index (2015 = 100) (ei_isset_q)"
"32","Turnover in services - quarterly data - growth rates (NACE Rev.2)","ei_isse_q","dataset","09.08.2019","09.08.2019","2016Q3","2019Q2",NA,"Turnover in services - quarterly data - growth rates (NACE Rev.2) (ei_isse_q)"
"33","Service producer prices - quarterly data - index (2015 = 100)","ei_isppi_q","dataset","08.08.2019","08.08.2019","2016Q3","2019Q2",NA,"Service producer prices - quarterly data - index (2015 = 100) (ei_isppi_q)"
"34","Service producer prices - quarterly data - growth rates","ei_isppe_q","dataset","08.08.2019","08.08.2019","2016Q3","2019Q2",NA,"Service producer prices - quarterly data - growth rates (ei_isppe_q)"
"35","Energy - monthly data","ei_isen_m","dataset","09.08.2019","09.08.2019","2008M01","2019M06",NA,"Energy - monthly data (ei_isen_m)"
"36","Harmonised unemployment (1 000) - monthly data","ei_lmhu_m","dataset","01.08.2019","01.08.2019","1983M01","2019M07",NA,"Harmonised unemployment (1 000) - monthly data (ei_lmhu_m)"
"37","Harmonised unemployment rates (%) - monthly data","ei_lmhr_m","dataset","01.08.2019","01.08.2019","1983M01","2019M07",NA,"Harmonised unemployment rates (%) - monthly data (ei_lmhr_m)"
"38","Labour cost index, nominal value - quarterly data","ei_lmlc_q","dataset","20.06.2019","20.06.2019","1996Q1","2019Q1",NA,"Labour cost index, nominal value - quarterly data (ei_lmlc_q)"
"39","Job vacancy rate","ei_lmjv_q_r2","dataset","21.06.2019","21.06.2019","2001Q1","2019Q1",NA,"Job vacancy rate (ei_lmjv_q_r2)"
"40","Interest rates - monthly data","ei_mfir_m","dataset","06.08.2019","06.08.2019","1980M01","2019M07",NA,"Interest rates - monthly data (ei_mfir_m)"
"41","Euro/Ecu exchange rates - monthly data","ei_mfrt_m","dataset","09.08.2019","09.08.2019","1999M01","2019M07",NA,"Euro/Ecu exchange rates - monthly data (ei_mfrt_m)"
"42","Effective exchange rates indices - monthly data","ei_mfef_m","dataset","26.07.2019","26.07.2019","1999M01","2019M06",NA,"Effective exchange rates indices - monthly data (ei_mfef_m)"
"43","GDP and main components (output, expenditure and income)","nama_10_gdp","dataset","02.08.2019","02.08.2019","1975","2018",NA,"GDP and main components (output, expenditure and income) (nama_10_gdp)"
"44","GDP and main components  (output, expenditure and income)","namq_10_gdp","dataset","09.08.2019","01.08.2019","1975Q1","2019Q2",NA,"GDP and main components  (output, expenditure and income) (namq_10_gdp)"
"45","Final consumption aggregates","namq_10_fcs","dataset","09.08.2019","30.07.2019","1978Q1","2019Q2",NA,"Final consumption aggregates (namq_10_fcs)"
"46","Exports and imports by Member States of the EU/third countries","namq_10_exi","dataset","09.08.2019","31.07.2019","1980Q1","2019Q2",NA,"Exports and imports by Member States of the EU/third countries (namq_10_exi)"
"47","Gross value added and income A*10 industry breakdowns","namq_10_a10","dataset","09.08.2019","01.08.2019","1975Q1","2019Q2",NA,"Gross value added and income A*10 industry breakdowns (namq_10_a10)"
"48","Gross fixed capital formation with AN_F6  asset breakdowns","namq_10_an6","dataset","09.08.2019","01.08.2019","1978Q1","2019Q2",NA,"Gross fixed capital formation with AN_F6  asset breakdowns (namq_10_an6)"
"49","Employment A*10 industry breakdowns","namq_10_a10_e","dataset","31.07.2019","01.08.2019","1975Q1","2019Q2",NA,"Employment A*10 industry breakdowns (namq_10_a10_e)"
"50","Key indicators","nasq_10_ki","dataset","26.07.2019","03.07.2019","1980Q1","2019Q1",NA,"Key indicators (nasq_10_ki)"
"51","Non-financial transactions","nasq_10_nf_tr","dataset","02.08.2019","02.08.2019","1947Q1","2019Q2",NA,"Non-financial transactions (nasq_10_nf_tr)"
"52","House price index (2015 = 100) - quarterly data","ei_hppi_q","dataset","01.08.2019","01.08.2019","2005Q1","2019Q1",NA,"House price index (2015 = 100) - quarterly data (ei_hppi_q)"
"53","Area by NUTS 3 region","reg_area3","dataset","14.03.2019","02.05.2019","2013","2016",NA,"Area by NUTS 3 region (reg_area3)"
"54","Estimated soil erosion by water, by NUTS 3 regions (source: JRC)","aei_pr_soiler","dataset","13.02.2019","13.02.2019","2000","2012",NA,"Estimated soil erosion by water, by NUTS 3 regions (source: JRC) (aei_pr_soiler)"
"55","Manure storage facilities by NUTS 3 regions","aei_fm_ms","dataset","05.02.2019","05.02.2019","2000","2010",NA,"Manure storage facilities by NUTS 3 regions (aei_fm_ms)"
"56","Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 regions","ef_kvaareg","dataset","16.01.2017","02.05.2019","2005","2013",NA,"Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 regions (ef_kvaareg)"
"57","Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 regions","ef_kvecsleg","dataset","16.01.2017","02.05.2019","2005","2013",NA,"Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 regions (ef_kvecsleg)"
"58","Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 regions","ef_kvftreg","dataset","16.01.2017","02.05.2019","2005","2013",NA,"Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 regions (ef_kvftreg)"
"59","Land use: number of farms and areas of different crops by agricultural size of farm (UAA) and NUTS 2 regions","ef_oluaareg","dataset","16.01.2017","08.05.2019","2005","2013",NA,"Land use: number of farms and areas of different crops by agricultural size of farm (UAA) and NUTS 2 regions (ef_oluaareg)"
"60","Land use: number of farms and areas of different crops by economic size of farm (SO in Euro) and NUTS 2 regions","ef_oluecsreg","dataset","16.01.2017","08.05.2019","2005","2013",NA,"Land use: number of farms and areas of different crops by economic size of farm (SO in Euro) and NUTS 2 regions (ef_oluecsreg)"
"61","Permanent crops: number of farms and areas by size of permanent crop area and NUTS 2 regions","ef_popermreg","dataset","16.01.2017","08.05.2019","2005","2013",NA,"Permanent crops: number of farms and areas by size of permanent crop area and NUTS 2 regions (ef_popermreg)"
"62","Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 regions","ef_poirrig","dataset","19.04.2018","08.05.2019","2005","2013",NA,"Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 regions (ef_poirrig)"
"63","Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 regions","ef_olsaareg","dataset","16.01.2017","08.05.2019","2005","2013",NA,"Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 regions (ef_olsaareg)"
"64","Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 regions","ef_olslsureg","dataset","16.01.2017","08.05.2019","2005","2013",NA,"Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 regions (ef_olslsureg)"
"65","Livestock: number of farms and heads of animals by economic size of farm (SO in Euro) and NUTS 2 regions","ef_olsecsreg","dataset","16.01.2017","08.05.2019","2005","2013",NA,"Livestock: number of farms and heads of animals by economic size of farm (SO in Euro) and NUTS 2 regions (ef_olsecsreg)"
"66","Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 regions","ef_olfreg","dataset","16.01.2017","08.05.2019","2005","2013",NA,"Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 regions (ef_olfreg)"
"67","Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 regions","ef_mporganic","dataset","16.01.2017","08.05.2019","2003","2013",NA,"Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 regions (ef_mporganic)"
"68","Type of tenure: number of farms and areas by agricultural size of farm (UAA) and NUTS 2 regions","ef_mptenure","dataset","16.01.2017","08.05.2019","2005","2013",NA,"Type of tenure: number of farms and areas by agricultural size of farm (UAA) and NUTS 2 regions (ef_mptenure)"
"69","Type of tenure: number of farms and areas by economic size of farm (SO in Euro) and NUTS 2 regions","ef_mptenurecs","dataset","16.01.2017","08.05.2019","2005","2013",NA,"Type of tenure: number of farms and areas by economic size of farm (SO in Euro) and NUTS 2 regions (ef_mptenurecs)"
"70","Key variables by legal status of holding, size of farm (UAA) and NUTS 2 regions","ef_ov_kvaa","dataset","26.03.2009","08.05.2019","1990","2007",NA,"Key variables by legal status of holding, size of farm (UAA) and NUTS 2 regions (ef_ov_kvaa)"
"71","Key variables by type of farming (2-digit) and NUTS 2 regions","ef_ov_kvftreg","dataset","26.03.2009","08.05.2019","2000","2007",NA,"Key variables by type of farming (2-digit) and NUTS 2 regions (ef_ov_kvftreg)"
"72","Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 regions","ef_lu_ovcropaa","dataset","26.03.2009","06.05.2019","1990","2007",NA,"Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 regions (ef_lu_ovcropaa)"
"73","Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 regions","ef_lu_ovcropesu","dataset","26.03.2009","06.05.2019","1990","2007",NA,"Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 regions (ef_lu_ovcropesu)"
"74","Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 regions","ef_lu_pcreg","dataset","26.03.2009","06.05.2019","1990","2007",NA,"Permanent crops: number of farms and areas by size of farm (UAA), size of permanent crop area and NUTS 2 regions (ef_lu_pcreg)"
"75","Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 regions","ef_lu_ofirrig","dataset","26.03.2009","06.05.2019","1990","2007",NA,"Irrigation: number of farms, areas and equipment by size of farm (UAA) and NUTS 2 regions (ef_lu_ofirrig)"
"76","Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 regions","ef_ls_ovaareg","dataset","26.03.2009","02.05.2019","1990","2007",NA,"Livestock: number of farms and heads by size of farm (UAA) and NUTS 2 regions (ef_ls_ovaareg)"
"77","Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 regions","ef_ls_ovlsureg","dataset","26.03.2009","02.05.2019","1990","2007",NA,"Livestock: number of farms and heads by livestock units (LSU) of farm and NUTS 2 regions (ef_ls_ovlsureg)"
"78","Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 regions","ef_ls_ovesu","dataset","26.03.2009","02.05.2019","1990","2007",NA,"Livestock: number of farms and heads by economic size of farm (ESU) and NUTS 2 regions (ef_ls_ovesu)"
"79","Organic farming: selected variables by size of farm (UAA) and NUTS 2 regions","ef_so_mporg","dataset","17.04.2009","08.05.2019","2000","2007",NA,"Organic farming: selected variables by size of farm (UAA) and NUTS 2 regions (ef_so_mporg)"
"80","Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 regions","ef_so_mptenure","dataset","26.03.2009","08.05.2019","1990","2007",NA,"Type of tenure: number of farms and areas by size of farm (UAA) and NUTS 2 regions (ef_so_mptenure)"
"81","Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 regions","ef_so_lfaa","dataset","14.04.2009","08.05.2019","1990","2007",NA,"Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, size of farm (UAA) and NUTS 2 regions (ef_so_lfaa)"
"82","Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 regions","ef_so_lfesu","dataset","14.04.2009","08.05.2019","1990","2007",NA,"Labour force: number of persons and farm work (AWU) by sex of worker, category of worker, legal status of holding, economic size of farm (ESU) and NUTS 2 regions (ef_so_lfesu)"
"83","Structure of agricultural holdings by NUTS 3 regions - main indicators","ef_r_nuts","dataset","10.09.2009","13.03.2015","2000","2007",NA,"Structure of agricultural holdings by NUTS 3 regions - main indicators (ef_r_nuts)"
"84","Animal populations by NUTS 2 regions","agr_r_animal","dataset","12.07.2019","12.07.2019","1977","2018",NA,"Animal populations by NUTS 2 regions (agr_r_animal)"
"85","Production of cow's milk on farms by NUTS 2 regions","agr_r_milkpr","dataset","08.08.2019","12.07.2019","1995","2018",NA,"Production of cow's milk on farms by NUTS 2 regions (agr_r_milkpr)"
"86","Economic accounts for agriculture by NUTS 2 regions","agr_r_accts","dataset","08.03.2019","24.05.2019","1973","2017",NA,"Economic accounts for agriculture by NUTS 2 regions (agr_r_accts)"
"87","Population on 1 January by age, sex and NUTS 2 region","demo_r_d2jan","dataset","12.06.2019","10.05.2019","1990","2018",NA,"Population on 1 January by age, sex and NUTS 2 region (demo_r_d2jan)"
"88","Area by NUTS 3 region","demo_r_d3area","dataset","25.09.2018","10.05.2019","1990","2015",NA,"Area by NUTS 3 region (demo_r_d3area)"
"89","Population density by NUTS 3 region","demo_r_d3dens","dataset","02.08.2019","02.08.2019","1990","2017",NA,"Population density by NUTS 3 region (demo_r_d3dens)"
"90","Population on 1 January by age group, sex and NUTS 2 region","demo_r_pjangroup","dataset","02.08.2019","02.08.2019","1990","2018",NA,"Population on 1 January by age group, sex and NUTS 2 region (demo_r_pjangroup)"
"91","Population on 1 January by age group, sex and NUTS 3 region","demo_r_pjangrp3","dataset","24.07.2019","10.05.2019","2014","2018",NA,"Population on 1 January by age group, sex and NUTS 3 region (demo_r_pjangrp3)"
"92","Population on 1 January by broad age group, sex and NUTS 3 region","demo_r_pjanaggr3","dataset","19.07.2019","10.05.2019","1990","2018",NA,"Population on 1 January by broad age group, sex and NUTS 3 region (demo_r_pjanaggr3)"
"93","Population: Structure indicators by NUTS 2 region","demo_r_pjanind2","dataset","18.03.2019","10.05.2019","1990","2018",NA,"Population: Structure indicators by NUTS 2 region (demo_r_pjanind2)"
"94","Population: Structure indicators by NUTS 3 region","demo_r_pjanind3","dataset","15.03.2019","10.05.2019","2014","2018",NA,"Population: Structure indicators by NUTS 3 region (demo_r_pjanind3)"
"95","Population change - Demographic balance and crude rates at regional level (NUTS 3) ","demo_r_gind3","dataset","19.07.2019","10.05.2019","2000","2018",NA,"Population change - Demographic balance and crude rates at regional level (NUTS 3)  (demo_r_gind3)"
"96","Live births (total) by NUTS 3 region","demo_r_births","dataset","19.07.2019","10.05.2019","1990","2017",NA,"Live births (total) by NUTS 3 region (demo_r_births)"
"97","Live births by age group of the mothers and NUTS 3 region","demo_r_fagec3","dataset","08.03.2019","10.05.2019","2013","2017",NA,"Live births by age group of the mothers and NUTS 3 region (demo_r_fagec3)"
"98","Live births by mother's age and NUTS 2 region","demo_r_fagec","dataset","01.03.2019","10.05.2019","1990","2017",NA,"Live births by mother's age and NUTS 2 region (demo_r_fagec)"
"99","Fertility rates by age and NUTS 2 region","demo_r_frate2","dataset","13.03.2019","10.05.2019","1990","2017",NA,"Fertility rates by age and NUTS 2 region (demo_r_frate2)"
"100","Fertility indicators by NUTS 2 region","demo_r_find2","dataset","15.03.2019","10.05.2019","1990","2017",NA,"Fertility indicators by NUTS 2 region (demo_r_find2)"
"101","Fertility indicators by NUTS 3 region","demo_r_find3","dataset","12.06.2019","28.02.2019","2013","2017",NA,"Fertility indicators by NUTS 3 region (demo_r_find3)"
"102","Deaths (total) by NUTS 3 region","demo_r_deaths","dataset","19.07.2019","10.05.2019","1990","2017",NA,"Deaths (total) by NUTS 3 region (demo_r_deaths)"
"103","Deaths by age group, sex and NUTS 3 region","demo_r_magec3","dataset","08.03.2019","10.05.2019","2013","2017",NA,"Deaths by age group, sex and NUTS 3 region (demo_r_magec3)"
"104","Deaths by age, sex and NUTS 2 region","demo_r_magec","dataset","07.03.2019","10.05.2019","1990","2017",NA,"Deaths by age, sex and NUTS 2 region (demo_r_magec)"
"105","Infant mortality by NUTS 2 region","demo_r_minf","dataset","07.03.2019","10.05.2019","1990","2017",NA,"Infant mortality by NUTS 2 region (demo_r_minf)"
"106","Infant mortality rates by NUTS 2 region","demo_r_minfind","dataset","07.03.2019","10.05.2019","1990","2017",NA,"Infant mortality rates by NUTS 2 region (demo_r_minfind)"
"107","Life table by NUTS 2 region","demo_r_mlife","dataset","08.03.2019","06.03.2019","1990","2017",NA,"Life table by NUTS 2 region (demo_r_mlife)"
"108","Life expectancy by age, sex and NUTS 2 region","demo_r_mlifexp","dataset","08.03.2019","10.05.2019","1990","2017",NA,"Life expectancy by age, sex and NUTS 2 region (demo_r_mlifexp)"
"109","Population by single year of age and NUTS 3 region","cens_11ag_r3","dataset","26.08.2015","26.08.2015","2011","2011",NA,"Population by single year of age and NUTS 3 region (cens_11ag_r3)"
"110","Population by marital status and NUTS 3 region","cens_11ms_r3","dataset","01.04.2019","01.04.2019","2011","2011",NA,"Population by marital status and NUTS 3 region (cens_11ms_r3)"
"111","Population by family status and NUTS 3 region","cens_11fs_r3","dataset","26.08.2015","26.08.2015","2011","2011",NA,"Population by family status and NUTS 3 region (cens_11fs_r3)"
"112","Population by current activity status, educational attainment level and NUTS 2 region","cens_11aed_r2","dataset","01.04.2019","01.04.2019","2011","2011",NA,"Population by current activity status, educational attainment level and NUTS 2 region (cens_11aed_r2)"
"113","Population by current activity status, occupation and NUTS 2 region","cens_11ao_r2","dataset","26.08.2015","26.08.2015","2011","2011",NA,"Population by current activity status, occupation and NUTS 2 region (cens_11ao_r2)"
"114","Population by current activity status, NACE Rev. 2 activity and NUTS 2 region","cens_11an_r2","dataset","23.07.2015","22.07.2015","2011","2011",NA,"Population by current activity status, NACE Rev. 2 activity and NUTS 2 region (cens_11an_r2)"
"115","Population by status in employment, occupation and NUTS 2 region","cens_11empo_r2","dataset","01.04.2019","01.04.2019","2011","2011",NA,"Population by status in employment, occupation and NUTS 2 region (cens_11empo_r2)"
"116","Population by status in employment, NACE Rev. 2 activity and NUTS 2 region","cens_11empn_r2","dataset","22.07.2015","22.07.2015","2011","2011",NA,"Population by status in employment, NACE Rev. 2 activity and NUTS 2 region (cens_11empn_r2)"
"117","Population by group of citizenship, occupation and NUTS 2 region","cens_11ctzo_r2","dataset","26.08.2015","26.08.2015","2011","2011",NA,"Population by group of citizenship, occupation and NUTS 2 region (cens_11ctzo_r2)"
"118","Population by group of country of birth, educational attainment level and NUTS 2 region","cens_11cobe_r2","dataset","26.08.2015","26.08.2015","2011","2011",NA,"Population by group of country of birth, educational attainment level and NUTS 2 region (cens_11cobe_r2)"
"119","Population by group of country of birth, current activity status and NUTS 2 region","cens_11coba_r2","dataset","26.08.2015","26.08.2015","2011","2011",NA,"Population by group of country of birth, current activity status and NUTS 2 region (cens_11coba_r2)"
"120","Population by group of country of birth, occupation and NUTS 2 region","cens_11cobo_r2","dataset","26.08.2015","26.08.2015","2011","2011",NA,"Population by group of country of birth, occupation and NUTS 2 region (cens_11cobo_r2)"
"121","Population by period of arrival in the country, country of birth and NUTS 2 region","cens_11arco_r2","dataset","26.08.2015","26.08.2015","2011","2011",NA,"Population by period of arrival in the country, country of birth and NUTS 2 region (cens_11arco_r2)"
"122","Families by type, size and NUTS 3 region","cens_11fts_r3","dataset","23.04.2015","12.05.2015","2011","2011",NA,"Families by type, size and NUTS 3 region (cens_11fts_r3)"
"123","Private households by type, tenure status and NUTS 2 region","cens_11htts_r2","dataset","23.04.2015","12.05.2015","2011","2011",NA,"Private households by type, tenure status and NUTS 2 region (cens_11htts_r2)"
"124","Population by housing arrangement and NUTS 2 region","cens_11hou_r2","dataset","26.08.2015","26.08.2015","2011","2011",NA,"Population by housing arrangement and NUTS 2 region (cens_11hou_r2)"
"125","Conventional dwellings by occupancy status, type of building and NUTS 3 region","cens_11dwob_r3","dataset","23.04.2015","12.05.2015","2011","2011",NA,"Conventional dwellings by occupancy status, type of building and NUTS 3 region (cens_11dwob_r3)"
"126","Population by sex, citizenship and NUTS 3 regions","cens_01rsctz","dataset","26.03.2009","14.01.2014","2001","2001",NA,"Population by sex, citizenship and NUTS 3 regions (cens_01rsctz)"
"127","Population by sex, age group, current activity status and NUTS 3 regions","cens_01rapop","dataset","26.03.2009","14.01.2014","2001","2001",NA,"Population by sex, age group, current activity status and NUTS 3 regions (cens_01rapop)"
"128","Total and active population by sex, age, employment status, residence one year prior to the census and NUTS 3 regions","cens_01ramigr","dataset","26.03.2009","14.01.2014","2001","2001",NA,"Total and active population by sex, age, employment status, residence one year prior to the census and NUTS 3 regions (cens_01ramigr)"
"129","Employed persons aged 15 and over by sex, citizenship, economic activity (NACE Rev. 1), status in employment and NUTS 3 regions","cens_01ractz","dataset","26.03.2009","14.01.2014","2001","2001",NA,"Employed persons aged 15 and over by sex, citizenship, economic activity (NACE Rev. 1), status in employment and NUTS 3 regions (cens_01ractz)"
"130","Employed persons by sex, age group, educational attainment level, occupation (ISCO-88) and NUTS 3 regions","cens_01reisco","dataset","26.03.2009","05.11.2014","2001","2001",NA,"Employed persons by sex, age group, educational attainment level, occupation (ISCO-88) and NUTS 3 regions (cens_01reisco)"
"131","Population by sex, age group, educational attainment level, current activity status and NUTS 3 regions","cens_01rews","dataset","26.03.2009","05.11.2014","2001","2001",NA,"Population by sex, age group, educational attainment level, current activity status and NUTS 3 regions (cens_01rews)"
"132","Population by sex, age group, household status and NUTS 3 regions","cens_01rhtype","dataset","26.03.2009","14.01.2014","2001","2001",NA,"Population by sex, age group, household status and NUTS 3 regions (cens_01rhtype)"
"133","Population by sex, age group, size of household and NUTS 3 regions","cens_01rhsize","dataset","09.02.2011","14.01.2014","2001","2001",NA,"Population by sex, age group, size of household and NUTS 3 regions (cens_01rhsize)"
"134","Private households by composition, size and NUTS 3 regions","cens_01rheco","dataset","26.03.2009","14.01.2014","2001","2001",NA,"Private households by composition, size and NUTS 3 regions (cens_01rheco)"
"135","Private households by composition, age group of children and NUTS 3 regions","cens_01rhagchi","dataset","26.03.2009","05.11.2014","2001","2001",NA,"Private households by composition, age group of children and NUTS 3 regions (cens_01rhagchi)"
"136","Dwellings by type of housing, building and NUTS 3 regions","cens_01rdhh","dataset","10.09.2009","14.01.2014","2001","2001",NA,"Dwellings by type of housing, building and NUTS 3 regions (cens_01rdhh)"
"137","Persons by type of building and NUTS 3 regions","cens_01rdbuild","dataset","26.03.2009","14.01.2014","2001","2001",NA,"Persons by type of building and NUTS 3 regions (cens_01rdbuild)"
